Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2,0.911255,0.397282,-1.74555,0.730449
2.025,0.902614,0.438837,-1.72684,0.741418
2.05,0.891976,0.661216,-1.70583,0.84582
2.075,0.882781,0.69194,-1.68654,0.890298
2.1,0.868825,0.993813,-1.66212,0.983985
2.125,0.852697,1.76572,-1.6374,1.10898
2.15,0.8351,1.66853,-1.60975,1.11174
2.175,0.816353,1.95399,-1.58078,1.19479
2.2,0.779757,4.34119,-1.54252,1.41674
2.225,0.74269,10.3736,-1.50863,1.63752
2.25,0.69041,19.125,-1.46714,1.8367
2.275,0.572009,52.6716,-1.4113,2.46233
2.3,0.349016,74.6266,-1.34412,2.13037
2.325,0.359356,56.5639,-1.31612,1.59985
2.35,0.225883,45.0933,-1.26674,1.44648
2.375,0.152682,24.3207,-1.23006,1.19624
2.4,0.145726,21.2232,-1.20248,1.13616
2.425,0.137275,15.1341,-1.17865,0.996273
2.45,0.126544,14.6263,-1.15166,0.970154
2.475,0.117509,12.797,-1.12868,0.918996
2.5,0.0968796,8.45742,-1.10537,0.841655